Hour,RH,Dist,Vis_Max
5,98.8651983202467,2014.818248,5554.71340903181
6,99.3794442444862,4825.886778,1478.45674560226
15,98.6996873238482,2957.46195,805.24678607121
4,98.2117438289944,4823.667662,3514.2732608305
6,100.0,4825.847278,891.463891874537
18,99.5265823468238,2960.013074,1709.96117495179
15,83.1965689651867,2962.060871,17.5230658958321
0,98.9476513134616,2015.439303,2619.61402227341
4,100.0,4819.12256,1734.06910906471
5,98.0245166182158,4821.325918,5703.87505723034
1,97.9918569711257,4823.825756,3252.66511633158
6,99.2351177638765,2017.624441,2323.89258687316
5,98.1403025893832,2017.741166,3164.86797128209
0,99.4315466994023,2013.358747,386.058341959958
16,98.1300952969531,2956.232799,1457.88759182014
15,97.622046527029,2955.373341,635.900721731413
17,80.4164256121199,2963.022471,30389.5186986145
0,98.1759753327536,2013.636658,1380.11191819989
